C(t=0),4.21348985868e-07
N(t=0),1.35868377105e-06
S(t=0),7.27393393862e-06
kn,1.53308832754e-07
ks,2.6762262845e-06
r (MAD),4.29413653051e-06
b (MAD),0.00945001569844
a (MAD),0.0116516464247
True_params
0.1
1.0
0.0
0.1
0.1
0.05
0.05
2.1203829581
0.235294256066
0.718003265372
0.703405877262
1.89093006482
0.328242142224
1.02039575162
1.77496176801
0.57991352124
Est_params
0.100000421349
1.00000135868
7.27393393862e-06
0.0999998466912
0.0999973237737
0.0405499843016
0.0616516464247
2.12037652072
0.235293051673
0.71800039104
0.703402705331
1.89092180218
0.328240426585
1.02039122289
1.77495402576
0.57991081131
